strategy;score;Regression simple;Regression Ridge;Regression Lasso;Regression Elastic Net;Linear SVR;MLP Regression;Dummy (MEAN);ADA;Random Forest
strategy1;train_rmse;1171814.5551134874;1189887.9054062788;1184763.00375077;1184651.8571377674;1256923.6146951912;800584.4010308349;2068344.8581256748;497648.8312489422;481491.59285985236
strategy1;test_rmse;1.5522010140313384e+16;1209488.7080055387;1205227.1124660377;1207560.381130545;1223469.3456020404;1469163.5437097268;2088801.4599956435;1181839.234401269;1187857.2909753064
strategy1;train_r2;0.679024507321889;0.6690470944012397;0.6718918136283168;0.6719533726116744;0.6307063250294269;0.8501804991911565;0.0;0.9421104631620582;0.9458084572427089
strategy1;test_r2;-5.523048893571632e+19;0.664659043773606;0.6670180072617051;0.6657274811865874;0.6568617380674824;0.5052073400417991;-0.00017797572576472298;0.6798158943225925;0.6765467660609709
strategy1;train_time;(0.0, 0.013583);(0.0, 0.191444);(0.0, 0.298021);(0.0, 9.561727);(0.0, 6.704506);(0.0, 52.372963);(0.0, 0.0);(0.0, 34.552039);(0.0, 34.596772)
strategy2;train_rmse;1124482.9889789696;1153623.799287694;1150415.8036173878;1144822.2128651098;1217306.8248871167;739310.2747940165;2068344.8581256748;503336.1556934941;469887.1505422269
strategy2;test_rmse;7.836840044216598e+16;1192387.855544506;1187313.4424507406;1191724.4663787088;1216160.8389291905;1309179.4785161305;2088801.4599956435;1165422.6058334939;1191299.606590436
strategy2;train_r2;0.7044303224913908;0.6889125350032215;0.6906402727082888;0.6936413177606832;0.6536188802595214;0.8722362701114852;0.0;0.9407797340253725;0.9483891233366571
strategy2;test_r2;-1.4078776916278258e+21;0.674074717630625;0.676842877885458;0.6744372760953183;0.6609490295302201;0.6071006227599629;-0.00017797572576472298;0.6886493060386827;0.6746693664114839
strategy2;train_time;(0.0, 0.026309);(0.0, 0.22702);(0.0, 0.434024);(0.0, 14.065068);(0.0, 7.607575);(1.0, 4.408878000000001);(0.0, 0.0);(0.0, 45.69146);(0.0, 47.291581)
strategy1b;train_rmse;1171814.5551134874;1189887.9054062788;1184763.00375077;1184651.8571377674;1256923.6146951912;756852.406006747;2068344.8581256748;512196.70740106056;474173.1960463117
strategy1b;test_rmse;1.5522010140313384e+16;1209488.7080055387;1205227.1124660377;1207560.381130545;1223469.3456020404;1407170.0037087786;2088801.4599956435;1183667.658751192;1190480.0354150494
strategy1b;train_r2;0.679024507321889;0.6690470944012397;0.6718918136283168;0.6719533726116744;0.6307063250294269;0.8661012601680891;0.0;0.9386763971094434;0.9474432986790584
strategy1b;test_r2;-5.523048893571632e+19;0.664659043773606;0.6670180072617051;0.6657274811865874;0.6568617380674824;0.546083364026972;-0.00017797572576472298;0.6788244138239168;0.6751168439256507
strategy1b;train_time;(0.0, 0.013325);(0.0, 0.147011);(0.0, 0.25402);(0.0, 9.691734);(0.0, 6.575509);(0.0, 53.699067);(0.0, 0.0);(0.0, 36.914795);(0.0, 33.311521)
