strategy 1,strategy 1b,strategy 2,strategy 3,strategy 3b,strategy 4
NumberofBuildings,NumberofBuildings,NumberofBuildings,NumberofBuildings,NumberofBuildings,NumberofBuildings
NumberofFloors,NumberofFloors,NumberofFloors,NumberofFloors,NumberofFloors,NumberofFloors
PrimaryPropertyType,PrimaryPropertyType,PrimaryPropertyType,PrimaryPropertyType,PrimaryPropertyType,PrimaryPropertyType
PropertyGFATotal,PropertyGFATotal,PropertyGFATotal,PropertyGFATotal,PropertyGFATotal,PropertyGFATotal
LargestPropertyUseType,LargestPropertyUseType,LargestPropertyUseType,LargestPropertyUseType,LargestPropertyUseType,LargestPropertyUseType
LargestPropertyUseTypeGFA,LargestPropertyUseTypeGFA,LargestPropertyUseTypeGFA,LargestPropertyUseTypeGFA,LargestPropertyUseTypeGFA,LargestPropertyUseTypeGFA
SiteEnergyUse(kBtu),SiteEnergyUse(kBtu),ENERGYSTARScore,SecondLargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseType
,taille reduite,SiteEnergyUse(kBtu),SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA
,,,SiteEnergyUse(kBtu),SiteEnergyUse(kBtu),ENERGYSTARScore
,,,,taille reduite,SiteEnergyUse(kBtu)
